return_id,order_id,return_reason,return_date,shipping_id,shipping_date,shipping_method,tracking_number
81,81,No Longer Needed,2023-03-26,81,2023-03-23,Standard,TRACK-81
82,82,Defective,2023-03-27,82,2023-03-24,Standard,TRACK-82
83,83,Wrong Item,2023-03-28,83,2023-03-25,Standard,TRACK-83
84,84,Defective,2023-03-29,84,2023-03-26,Standard,TRACK-84
85,85,No Longer Needed,2023-03-30,85,2023-03-27,Express,TRACK-85
86,86,Wrong Item,2023-03-31,86,2023-03-28,Express,TRACK-86
87,87,No Longer Needed,2023-04-01,87,2023-03-29,Express,TRACK-87
88,88,Defective,2023-04-02,88,2023-03-30,Standard,TRACK-88
89,89,Defective,2023-04-03,89,2023-03-31,Express,TRACK-89
90,90,Wrong Item,2023-04-04,90,2023-04-01,Express,TRACK-90
91,91,No Longer Needed,2023-04-05,91,2023-04-02,Standard,TRACK-91
92,92,Defective,2023-04-06,92,2023-04-03,Express,TRACK-92
93,93,No Longer Needed,2023-04-07,93,2023-04-04,Standard,TRACK-93
94,94,No Longer Needed,2023-04-08,94,2023-04-05,Standard,TRACK-94
95,95,Wrong Item,2023-04-09,95,2023-04-06,Standard,TRACK-95
96,96,No Longer Needed,2023-04-10,96,2023-04-07,Standard,TRACK-96
97,97,Defective,2023-04-11,97,2023-04-08,Express,TRACK-97
98,98,Defective,2023-04-12,98,2023-04-09,Express,TRACK-98
99,99,Wrong Item,2023-04-13,99,2023-04-10,Express,TRACK-99
100,100,No Longer Needed,2023-04-14,100,2023-04-11,Express,TRACK-100
101,101,Defective,2023-04-15,101,2023-04-12,Express,TRACK-101
102,102,Defective,2023-04-16,102,2023-04-13,Standard,TRACK-102
103,103,Wrong Item,2023-04-17,103,2023-04-14,Express,TRACK-103
104,104,No Longer Needed,2023-04-18,104,2023-04-15,Standard,TRACK-104
105,105,No Longer Needed,2023-04-19,105,2023-04-16,Express,TRACK-105
106,106,No Longer Needed,2023-04-20,106,2023-04-17,Express,TRACK-106
107,107,Defective,2023-04-21,107,2023-04-18,Express,TRACK-107
108,108,Defective,2023-04-22,108,2023-04-19,Express,TRACK-108
109,109,Wrong Item,2023-04-23,109,2023-04-20,Express,TRACK-109
110,110,Defective,2023-04-24,110,2023-04-21,Standard,TRACK-110
111,111,Wrong Item,2023-04-25,111,2023-04-22,Standard,TRACK-111
112,112,Wrong Item,2023-04-26,112,2023-04-23,Express,TRACK-112
113,113,No Longer Needed,2023-04-27,113,2023-04-24,Express,TRACK-113
114,114,Wrong Item,2023-04-28,114,2023-04-25,Standard,TRACK-114
115,115,No Longer Needed,2023-04-29,115,2023-04-26,Standard,TRACK-115
116,116,No Longer Needed,2023-04-30,116,2023-04-27,Express,TRACK-116
117,117,Defective,2023-05-01,117,2023-04-28,Express,TRACK-117
118,118,Defective,2023-05-02,118,2023-04-29,Express,TRACK-118
119,119,Wrong Item,2023-05-03,119,2023-04-30,Express,TRACK-119
120,120,Wrong Item,2023-05-04,120,2023-05-01,Standard,TRACK-120
