order_id,product_id,quantity,order_date,customer_id,status,payment_id,payment_method,amount,payment_date
110,54,4,2023-04-20,17,Shipped,110,PayPal,262.76,2023-04-20
111,12,6,2023-04-21,15,Pending,111,Bank Transfer,177.06,2023-04-21
112,5,4,2023-04-22,6,Delivered,112,PayPal,199.0,2023-04-22
113,40,7,2023-04-23,2,Pending,113,Credit Card,353.01,2023-04-23
114,93,5,2023-04-24,6,Shipped,114,PayPal,214.45,2023-04-24
115,46,8,2023-04-25,7,Delivered,115,Bank Transfer,259.84,2023-04-25
116,27,4,2023-04-26,13,Pending,116,Credit Card,99.36,2023-04-26
117,75,1,2023-04-27,11,Pending,117,Bank Transfer,50.31,2023-04-27
118,53,6,2023-04-28,15,Shipped,118,Bank Transfer,273.24,2023-04-28
119,50,4,2023-04-29,9,Shipped,119,Bank Transfer,277.48,2023-04-29
120,92,8,2023-04-30,8,Cancelled,120,Bank Transfer,116.4,2023-04-30
