return_id,order_id,return_reason,return_date,sales_id,total_amount,sales_date
86,86,Wrong Item,2023-03-31,86,37.92,2023-03-27
87,87,No Longer Needed,2023-04-01,87,42.89,2023-03-28
88,88,Defective,2023-04-02,88,540.0,2023-03-29
89,89,Defective,2023-04-03,89,537.75,2023-03-30
90,90,Wrong Item,2023-04-04,90,245.0,2023-03-31
91,91,No Longer Needed,2023-04-05,91,316.12,2023-04-01
92,92,Defective,2023-04-06,92,334.86,2023-04-02
93,93,No Longer Needed,2023-04-07,93,158.20000000000002,2023-04-03
94,94,No Longer Needed,2023-04-08,94,92.72,2023-04-04
95,95,Wrong Item,2023-04-09,95,257.43,2023-04-05
96,96,No Longer Needed,2023-04-10,96,225.18,2023-04-06
97,97,Defective,2023-04-11,97,59.82,2023-04-07
98,98,Defective,2023-04-12,98,428.6,2023-04-08
99,99,Wrong Item,2023-04-13,99,54.06,2023-04-09
100,100,No Longer Needed,2023-04-14,100,720.99,2023-04-10
101,101,Defective,2023-04-15,101,213.12,2023-04-11
102,102,Defective,2023-04-16,102,200.58,2023-04-12
103,103,Wrong Item,2023-04-17,103,115.56,2023-04-13
104,104,No Longer Needed,2023-04-18,104,175.72,2023-04-14
105,105,No Longer Needed,2023-04-19,105,785.28,2023-04-15
106,106,No Longer Needed,2023-04-20,106,502.83,2023-04-16
107,107,Defective,2023-04-21,107,503.86,2023-04-17
108,108,Defective,2023-04-22,108,457.1,2023-04-18
109,109,Wrong Item,2023-04-23,109,731.36,2023-04-19
110,110,Defective,2023-04-24,110,262.76,2023-04-20
111,111,Wrong Item,2023-04-25,111,177.06,2023-04-21
112,112,Wrong Item,2023-04-26,112,199.0,2023-04-22
113,113,No Longer Needed,2023-04-27,113,353.01,2023-04-23
114,114,Wrong Item,2023-04-28,114,214.45,2023-04-24
115,115,No Longer Needed,2023-04-29,115,259.84,2023-04-25
116,116,No Longer Needed,2023-04-30,116,99.36,2023-04-26
117,117,Defective,2023-05-01,117,50.31,2023-04-27
118,118,Defective,2023-05-02,118,273.24,2023-04-28
119,119,Wrong Item,2023-05-03,119,277.48,2023-04-29
120,120,Wrong Item,2023-05-04,120,116.4,2023-04-30
