payment_id,order_id,payment_method,amount,payment_date,promotion_id,promotion_name,discount_percentage,start_date,end_date
80,80,Credit Card,25.98,2023-03-21,,,,,
81,81,Bank Transfer,263.58,2023-03-22,,,,,
82,82,Bank Transfer,89.02,2023-03-23,43.0,Promo 43,5.0,2023-10-22,2023-10-29
83,83,PayPal,223.0,2023-03-24,32.0,Promo 32,7.0,2023-08-06,2023-08-13
84,84,PayPal,261.55,2023-03-25,33.0,Promo 33,24.0,2023-08-13,2023-08-20
85,85,Credit Card,119.32,2023-03-26,7.0,Promo 7,24.0,2023-02-12,2023-02-19
86,86,PayPal,37.92,2023-03-27,4.0,Promo 4,17.0,2023-01-22,2023-01-29
87,87,Bank Transfer,42.89,2023-03-28,69.0,Promo 69,24.0,2024-04-21,2024-04-28
88,88,Bank Transfer,540.0,2023-03-29,,,,,
89,89,Bank Transfer,537.75,2023-03-30,70.0,Promo 70,21.0,2024-04-28,2024-05-05
90,90,PayPal,245.0,2023-03-31,78.0,Promo 78,8.0,2024-06-23,2024-06-30
91,91,Credit Card,316.12,2023-04-01,,,,,
92,92,Bank Transfer,334.86,2023-04-02,72.0,Promo 72,17.0,2024-05-12,2024-05-19
93,93,Bank Transfer,158.20000000000002,2023-04-03,20.0,Promo 20,15.0,2023-05-14,2023-05-21
94,94,PayPal,92.72,2023-04-04,57.0,Promo 57,26.0,2024-01-28,2024-02-04
95,95,PayPal,257.43,2023-04-05,31.0,Promo 31,7.0,2023-07-30,2023-08-06
96,96,PayPal,225.18,2023-04-06,27.0,Promo 27,9.0,2023-07-02,2023-07-09
97,97,PayPal,59.82,2023-04-07,6.0,Promo 6,19.0,2023-02-05,2023-02-12
98,98,Credit Card,428.6,2023-04-08,64.0,Promo 64,23.0,2024-03-17,2024-03-24
99,99,PayPal,54.06,2023-04-09,48.0,Promo 48,5.0,2023-11-26,2023-12-03
100,100,Credit Card,720.99,2023-04-10,76.0,Promo 76,7.0,2024-06-09,2024-06-16
101,101,Credit Card,213.12,2023-04-11,10.0,Promo 10,8.0,2023-03-05,2023-03-12
102,102,Bank Transfer,200.58,2023-04-12,77.0,Promo 77,25.0,2024-06-16,2024-06-23
103,103,Bank Transfer,115.56,2023-04-13,99.0,Promo 99,24.0,2024-11-17,2024-11-24
104,104,PayPal,175.72,2023-04-14,23.0,Promo 23,29.0,2023-06-04,2023-06-11
105,105,Bank Transfer,785.28,2023-04-15,12.0,Promo 12,6.0,2023-03-19,2023-03-26
106,106,Credit Card,502.83,2023-04-16,54.0,Promo 54,22.0,2024-01-07,2024-01-14
107,107,PayPal,503.86,2023-04-17,65.0,Promo 65,7.0,2024-03-24,2024-03-31
108,108,PayPal,457.1,2023-04-18,79.0,Promo 79,22.0,2024-06-30,2024-07-07
109,109,PayPal,731.36,2023-04-19,,,,,
110,110,PayPal,262.76,2023-04-20,40.0,Promo 40,24.0,2023-10-01,2023-10-08
111,111,Bank Transfer,177.06,2023-04-21,90.0,Promo 90,27.0,2024-09-15,2024-09-22
112,112,PayPal,199.0,2023-04-22,8.0,Promo 8,29.0,2023-02-19,2023-02-26
113,113,Credit Card,353.01,2023-04-23,,,,,
114,114,PayPal,214.45,2023-04-24,84.0,Promo 84,10.0,2024-08-04,2024-08-11
115,115,Bank Transfer,259.84,2023-04-25,51.0,Promo 51,18.0,2023-12-17,2023-12-24
116,116,Credit Card,99.36,2023-04-26,95.0,Promo 95,29.0,2024-10-20,2024-10-27
117,117,Bank Transfer,50.31,2023-04-27,56.0,Promo 56,12.0,2024-01-21,2024-01-28
118,118,Bank Transfer,273.24,2023-04-28,44.0,Promo 44,6.0,2023-10-29,2023-11-05
119,119,Bank Transfer,277.48,2023-04-29,88.0,Promo 88,9.0,2024-09-01,2024-09-08
120,120,Bank Transfer,116.4,2023-04-30,46.0,Promo 46,15.0,2023-11-12,2023-11-19
