order_id,promotion_id,promotion_name,discount_percentage,start_date,end_date,return_id,return_reason,return_date
54,60,Promo 60,20,2024-02-18,2024-02-25,54,Defective,2023-02-27
55,61,Promo 61,23,2024-02-25,2024-03-03,55,Wrong Item,2023-02-28
56,62,Promo 62,26,2024-03-03,2024-03-10,56,No Longer Needed,2023-03-01
71,63,Promo 63,15,2024-03-10,2024-03-17,71,No Longer Needed,2023-03-16
98,64,Promo 64,23,2024-03-17,2024-03-24,98,Defective,2023-04-12
107,65,Promo 65,7,2024-03-24,2024-03-31,107,Defective,2023-04-21
62,66,Promo 66,22,2024-03-31,2024-04-07,62,Wrong Item,2023-03-07
5,67,Promo 67,8,2024-04-07,2024-04-14,5,No Longer Needed,2023-01-09
68,68,Promo 68,29,2024-04-14,2024-04-21,68,Defective,2023-03-13
87,69,Promo 69,24,2024-04-21,2024-04-28,87,No Longer Needed,2023-04-01
89,70,Promo 70,21,2024-04-28,2024-05-05,89,Defective,2023-04-03
73,71,Promo 71,28,2024-05-05,2024-05-12,73,Defective,2023-03-18
92,72,Promo 72,17,2024-05-12,2024-05-19,92,Defective,2023-04-06
78,73,Promo 73,8,2024-05-19,2024-05-26,78,Wrong Item,2023-03-23
16,74,Promo 74,18,2024-05-26,2024-06-02,16,Defective,2023-01-20
27,75,Promo 75,29,2024-06-02,2024-06-09,27,Wrong Item,2023-01-31
100,76,Promo 76,7,2024-06-09,2024-06-16,100,No Longer Needed,2023-04-14
102,77,Promo 77,25,2024-06-16,2024-06-23,102,Defective,2023-04-16
90,78,Promo 78,8,2024-06-23,2024-06-30,90,Wrong Item,2023-04-04
108,79,Promo 79,22,2024-06-30,2024-07-07,108,Defective,2023-04-22
74,80,Promo 80,17,2024-07-07,2024-07-14,74,Defective,2023-03-19
52,81,Promo 81,11,2024-07-14,2024-07-21,52,No Longer Needed,2023-02-25
8,82,Promo 82,15,2024-07-21,2024-07-28,8,No Longer Needed,2023-01-12
61,83,Promo 83,15,2024-07-28,2024-08-04,61,Defective,2023-03-06
114,84,Promo 84,10,2024-08-04,2024-08-11,114,Wrong Item,2023-04-28
76,85,Promo 85,15,2024-08-11,2024-08-18,76,Defective,2023-03-21
31,86,Promo 86,13,2024-08-18,2024-08-25,31,Defective,2023-02-04
30,87,Promo 87,20,2024-08-25,2024-09-01,30,Wrong Item,2023-02-03
119,88,Promo 88,9,2024-09-01,2024-09-08,119,Wrong Item,2023-05-03
4,89,Promo 89,24,2024-09-08,2024-09-15,4,Wrong Item,2023-01-08
111,90,Promo 90,27,2024-09-15,2024-09-22,111,Wrong Item,2023-04-25
69,91,Promo 91,10,2024-09-22,2024-09-29,69,Defective,2023-03-14
11,92,Promo 92,8,2024-09-29,2024-10-06,11,Wrong Item,2023-01-15
49,93,Promo 93,12,2024-10-06,2024-10-13,49,Defective,2023-02-22
28,94,Promo 94,29,2024-10-13,2024-10-20,28,Wrong Item,2023-02-01
116,95,Promo 95,29,2024-10-20,2024-10-27,116,No Longer Needed,2023-04-30
45,96,Promo 96,20,2024-10-27,2024-11-03,45,Wrong Item,2023-02-18
43,97,Promo 97,20,2024-11-03,2024-11-10,43,Defective,2023-02-16
33,98,Promo 98,15,2024-11-10,2024-11-17,33,Wrong Item,2023-02-06
103,99,Promo 99,24,2024-11-17,2024-11-24,103,Wrong Item,2023-04-17
22,100,Promo 100,18,2024-11-24,2024-12-01,22,No Longer Needed,2023-01-26
