payment_id,order_id,payment_method,amount,payment_date,promotion_id,promotion_name,discount_percentage,start_date,end_date
35.0,35,PayPal,47.03,2023-02-04,,,,,
36.0,36,Bank Transfer,453.87,2023-02-05,,,,,
37.0,37,PayPal,151.29,2023-02-06,,,,,
38.0,38,PayPal,151.68,2023-02-07,,,,,
39.0,39,Bank Transfer,771.48,2023-02-08,,,,,
40.0,40,Credit Card,366.7000000000001,2023-02-09,,,,,
41.0,41,PayPal,87.4,2023-02-10,,,,,
42.0,42,PayPal,37.5,2023-02-11,,,,,
43.0,43,PayPal,788.48,2023-02-12,,,,,
44.0,44,Credit Card,244.93,2023-02-13,,,,,
45.0,45,Credit Card,214.45,2023-02-14,,,,,
46.0,46,Bank Transfer,94.12,2023-02-15,,,,,
47.0,47,PayPal,480.66,2023-02-16,,,,,
48.0,48,Bank Transfer,554.96,2023-02-17,,,,,
49.0,49,Bank Transfer,40.92,2023-02-18,,,,,
50.0,50,PayPal,46.0,2023-02-19,,,,,
51.0,51,PayPal,229.14,2023-02-20,,,,,
52.0,52,Bank Transfer,546.0,2023-02-21,,,,,
53.0,53,Credit Card,233.32,2023-02-22,,,,,
54.0,54,Bank Transfer,305.2,2023-02-23,,,,,
55.0,55,Credit Card,664.79,2023-02-24,,,,,
56.0,56,Credit Card,116.4,2023-02-25,,,,,
57.0,57,Bank Transfer,116.66,2023-02-26,,,,,
58.0,58,PayPal,162.26,2023-02-27,,,,,
59.0,59,Bank Transfer,55.75,2023-02-28,,,,,
60.0,60,Bank Transfer,178.04,2023-03-01,,,,,
61.0,61,Credit Card,502.83,2023-03-02,,,,,
62.0,62,Bank Transfer,113.0,2023-03-03,,,,,
63.0,63,PayPal,83.72,2023-03-04,,,,,
64.0,64,Bank Transfer,464.5,2023-03-05,,,,,
65.0,65,Bank Transfer,405.0,2023-03-06,,,,,
66.0,66,Credit Card,30.77,2023-03-07,,,,,
67.0,67,PayPal,183.2,2023-03-08,,,,,
68.0,68,PayPal,83.72,2023-03-09,,,,,
69.0,69,Credit Card,194.45,2023-03-10,,,,,
70.0,70,PayPal,153.75,2023-03-11,,,,,
71.0,71,PayPal,359.90000000000003,2023-03-12,,,,,
72.0,72,Bank Transfer,74.45,2023-03-13,,,,,
73.0,73,Credit Card,14.55,2023-03-14,,,,,
74.0,74,PayPal,103.5,2023-03-15,,,,,
75.0,75,Credit Card,64.95,2023-03-16,,,,,
76.0,76,Bank Transfer,343.0,2023-03-17,,,,,
77.0,77,PayPal,43.36,2023-03-18,,,,,
78.0,78,Credit Card,133.72,2023-03-19,,,,,
79.0,79,PayPal,295.68,2023-03-20,,,,,
80.0,80,Credit Card,25.98,2023-03-21,,,,,
81.0,81,Bank Transfer,263.58,2023-03-22,,,,,
82.0,82,Bank Transfer,89.02,2023-03-23,,,,,
83.0,83,PayPal,223.0,2023-03-24,,,,,
84.0,84,PayPal,261.55,2023-03-25,,,,,
85.0,85,Credit Card,119.32,2023-03-26,,,,,
86.0,86,PayPal,37.92,2023-03-27,,,,,
87.0,87,Bank Transfer,42.89,2023-03-28,,,,,
88.0,88,Bank Transfer,540.0,2023-03-29,,,,,
89.0,89,Bank Transfer,537.75,2023-03-30,,,,,
90.0,90,PayPal,245.0,2023-03-31,,,,,
91.0,91,Credit Card,316.12,2023-04-01,,,,,
92.0,92,Bank Transfer,334.86,2023-04-02,,,,,
93.0,93,Bank Transfer,158.20000000000002,2023-04-03,,,,,
94.0,94,PayPal,92.72,2023-04-04,,,,,
95.0,95,PayPal,257.43,2023-04-05,,,,,
96.0,96,PayPal,225.18,2023-04-06,,,,,
97.0,97,PayPal,59.82,2023-04-07,,,,,
98.0,98,Credit Card,428.6,2023-04-08,,,,,
99.0,99,PayPal,54.06,2023-04-09,,,,,
100.0,100,Credit Card,720.99,2023-04-10,,,,,
101.0,101,Credit Card,213.12,2023-04-11,,,,,
102.0,102,Bank Transfer,200.58,2023-04-12,,,,,
103.0,103,Bank Transfer,115.56,2023-04-13,,,,,
104.0,104,PayPal,175.72,2023-04-14,,,,,
105.0,105,Bank Transfer,785.28,2023-04-15,,,,,
106.0,106,Credit Card,502.83,2023-04-16,,,,,
107.0,107,PayPal,503.86,2023-04-17,,,,,
108.0,108,PayPal,457.1,2023-04-18,,,,,
109.0,109,PayPal,731.36,2023-04-19,,,,,
110.0,110,PayPal,262.76,2023-04-20,,,,,
111.0,111,Bank Transfer,177.06,2023-04-21,,,,,
112.0,112,PayPal,199.0,2023-04-22,,,,,
113.0,113,Credit Card,353.01,2023-04-23,,,,,
114.0,114,PayPal,214.45,2023-04-24,,,,,
115.0,115,Bank Transfer,259.84,2023-04-25,,,,,
116.0,116,Credit Card,99.36,2023-04-26,,,,,
117.0,117,Bank Transfer,50.31,2023-04-27,,,,,
118.0,118,Bank Transfer,273.24,2023-04-28,,,,,
119.0,119,Bank Transfer,277.48,2023-04-29,,,,,
120.0,120,Bank Transfer,116.4,2023-04-30,,,,,
,34,,,,1.0,Promo 1,23.0,2023-01-01,2023-01-08
,36,,,,2.0,Promo 2,24.0,2023-01-08,2023-01-15
,72,,,,3.0,Promo 3,11.0,2023-01-15,2023-01-22
,86,,,,4.0,Promo 4,17.0,2023-01-22,2023-01-29
,44,,,,5.0,Promo 5,8.0,2023-01-29,2023-02-05
,97,,,,6.0,Promo 6,19.0,2023-02-05,2023-02-12
,85,,,,7.0,Promo 7,24.0,2023-02-12,2023-02-19
,112,,,,8.0,Promo 8,29.0,2023-02-19,2023-02-26
,79,,,,9.0,Promo 9,22.0,2023-02-26,2023-03-05
,101,,,,10.0,Promo 10,8.0,2023-03-05,2023-03-12
,47,,,,11.0,Promo 11,8.0,2023-03-12,2023-03-19
,105,,,,12.0,Promo 12,6.0,2023-03-19,2023-03-26
,3,,,,13.0,Promo 13,26.0,2023-03-26,2023-04-02
,20,,,,14.0,Promo 14,24.0,2023-04-02,2023-04-09
,25,,,,15.0,Promo 15,27.0,2023-04-09,2023-04-16
,2,,,,16.0,Promo 16,9.0,2023-04-16,2023-04-23
,37,,,,17.0,Promo 17,29.0,2023-04-23,2023-04-30
,60,,,,18.0,Promo 18,26.0,2023-04-30,2023-05-07
,70,,,,19.0,Promo 19,12.0,2023-05-07,2023-05-14
,93,,,,20.0,Promo 20,15.0,2023-05-14,2023-05-21
,57,,,,21.0,Promo 21,15.0,2023-05-21,2023-05-28
,19,,,,22.0,Promo 22,22.0,2023-05-28,2023-06-04
,104,,,,23.0,Promo 23,29.0,2023-06-04,2023-06-11
,59,,,,24.0,Promo 24,23.0,2023-06-11,2023-06-18
,10,,,,25.0,Promo 25,21.0,2023-06-18,2023-06-25
,77,,,,26.0,Promo 26,5.0,2023-06-25,2023-07-02
,96,,,,27.0,Promo 27,9.0,2023-07-02,2023-07-09
,6,,,,28.0,Promo 28,7.0,2023-07-09,2023-07-16
,24,,,,29.0,Promo 29,18.0,2023-07-16,2023-07-23
,26,,,,30.0,Promo 30,6.0,2023-07-23,2023-07-30
,95,,,,31.0,Promo 31,7.0,2023-07-30,2023-08-06
,83,,,,32.0,Promo 32,7.0,2023-08-06,2023-08-13
,84,,,,33.0,Promo 33,24.0,2023-08-13,2023-08-20
,14,,,,34.0,Promo 34,25.0,2023-08-20,2023-08-27
,46,,,,35.0,Promo 35,17.0,2023-08-27,2023-09-03
,40,,,,36.0,Promo 36,12.0,2023-09-03,2023-09-10
,1,,,,37.0,Promo 37,26.0,2023-09-10,2023-09-17
,51,,,,38.0,Promo 38,18.0,2023-09-17,2023-09-24
,12,,,,39.0,Promo 39,22.0,2023-09-24,2023-10-01
,110,,,,40.0,Promo 40,24.0,2023-10-01,2023-10-08
,64,,,,41.0,Promo 41,17.0,2023-10-08,2023-10-15
,13,,,,42.0,Promo 42,22.0,2023-10-15,2023-10-22
,82,,,,43.0,Promo 43,5.0,2023-10-22,2023-10-29
,118,,,,44.0,Promo 44,6.0,2023-10-29,2023-11-05
,17,,,,45.0,Promo 45,9.0,2023-11-05,2023-11-12
,120,,,,46.0,Promo 46,15.0,2023-11-12,2023-11-19
,63,,,,47.0,Promo 47,15.0,2023-11-19,2023-11-26
,99,,,,48.0,Promo 48,5.0,2023-11-26,2023-12-03
,53,,,,49.0,Promo 49,7.0,2023-12-03,2023-12-10
,29,,,,50.0,Promo 50,6.0,2023-12-10,2023-12-17
,115,,,,51.0,Promo 51,18.0,2023-12-17,2023-12-24
,9,,,,52.0,Promo 52,24.0,2023-12-24,2023-12-31
,32,,,,53.0,Promo 53,20.0,2023-12-31,2024-01-07
,106,,,,54.0,Promo 54,22.0,2024-01-07,2024-01-14
,15,,,,55.0,Promo 55,9.0,2024-01-14,2024-01-21
,117,,,,56.0,Promo 56,12.0,2024-01-21,2024-01-28
,94,,,,57.0,Promo 57,26.0,2024-01-28,2024-02-04
,66,,,,58.0,Promo 58,11.0,2024-02-04,2024-02-11
,38,,,,59.0,Promo 59,14.0,2024-02-11,2024-02-18
,54,,,,60.0,Promo 60,20.0,2024-02-18,2024-02-25
,55,,,,61.0,Promo 61,23.0,2024-02-25,2024-03-03
,56,,,,62.0,Promo 62,26.0,2024-03-03,2024-03-10
,71,,,,63.0,Promo 63,15.0,2024-03-10,2024-03-17
,98,,,,64.0,Promo 64,23.0,2024-03-17,2024-03-24
,107,,,,65.0,Promo 65,7.0,2024-03-24,2024-03-31
,62,,,,66.0,Promo 66,22.0,2024-03-31,2024-04-07
,5,,,,67.0,Promo 67,8.0,2024-04-07,2024-04-14
,68,,,,68.0,Promo 68,29.0,2024-04-14,2024-04-21
,87,,,,69.0,Promo 69,24.0,2024-04-21,2024-04-28
,89,,,,70.0,Promo 70,21.0,2024-04-28,2024-05-05
,73,,,,71.0,Promo 71,28.0,2024-05-05,2024-05-12
,92,,,,72.0,Promo 72,17.0,2024-05-12,2024-05-19
,78,,,,73.0,Promo 73,8.0,2024-05-19,2024-05-26
,16,,,,74.0,Promo 74,18.0,2024-05-26,2024-06-02
,27,,,,75.0,Promo 75,29.0,2024-06-02,2024-06-09
,100,,,,76.0,Promo 76,7.0,2024-06-09,2024-06-16
,102,,,,77.0,Promo 77,25.0,2024-06-16,2024-06-23
,90,,,,78.0,Promo 78,8.0,2024-06-23,2024-06-30
,108,,,,79.0,Promo 79,22.0,2024-06-30,2024-07-07
,74,,,,80.0,Promo 80,17.0,2024-07-07,2024-07-14
,52,,,,81.0,Promo 81,11.0,2024-07-14,2024-07-21
,8,,,,82.0,Promo 82,15.0,2024-07-21,2024-07-28
,61,,,,83.0,Promo 83,15.0,2024-07-28,2024-08-04
,114,,,,84.0,Promo 84,10.0,2024-08-04,2024-08-11
,76,,,,85.0,Promo 85,15.0,2024-08-11,2024-08-18
,31,,,,86.0,Promo 86,13.0,2024-08-18,2024-08-25
,30,,,,87.0,Promo 87,20.0,2024-08-25,2024-09-01
,119,,,,88.0,Promo 88,9.0,2024-09-01,2024-09-08
,4,,,,89.0,Promo 89,24.0,2024-09-08,2024-09-15
,111,,,,90.0,Promo 90,27.0,2024-09-15,2024-09-22
,69,,,,91.0,Promo 91,10.0,2024-09-22,2024-09-29
,11,,,,92.0,Promo 92,8.0,2024-09-29,2024-10-06
,49,,,,93.0,Promo 93,12.0,2024-10-06,2024-10-13
,28,,,,94.0,Promo 94,29.0,2024-10-13,2024-10-20
,116,,,,95.0,Promo 95,29.0,2024-10-20,2024-10-27
,45,,,,96.0,Promo 96,20.0,2024-10-27,2024-11-03
,43,,,,97.0,Promo 97,20.0,2024-11-03,2024-11-10
,33,,,,98.0,Promo 98,15.0,2024-11-10,2024-11-17
,103,,,,99.0,Promo 99,24.0,2024-11-17,2024-11-24
,22,,,,100.0,Promo 100,18.0,2024-11-24,2024-12-01
