Date,Product_Name,Supplier_ID,Order_Quantity,Demand_Quantity,Raw_Material_ID,Raw_Material_Quantity,Lead_Time,Production_Schedule,Production_Capacity,Machine_ID,Defective_Units,Production_Costs,Labor_Hours,Inventory_Levels,Order_Status,Transportation_Costs,Supplier_Rating,Transportation_Mode,Stockout_Risk,Product_Price,Location
2023-01-11,Beng Beng,SUP_27,1399,187,RM_24,2216,8,2023-01-20,769,MAC_11,49,5806.76,28,3259,Pending,4392.8,3,Air,0.89,177.01,"Hernandezchester, Indonesia"
2023-01-12,Indomie Goreng,SUP_30,925,1360,RM_20,2209,21,2023-01-21,4796,MAC_3,40,1800.81,93,4842,In-Transit,1625.0,1,Road,0.67,595.9,"Port Brittanyfort, Indonesia"
2023-01-13,Pocari Sweat,SUP_14,1058,1633,RM_14,1779,27,2023-01-22,3371,MAC_10,46,6913.22,84,3117,Completed,1214.41,2,Road,0.44,421.02,"Timothyville, Indonesia"
2023-01-14,Bintang Beer,SUP_34,711,1694,RM_14,2268,18,2023-01-23,4062,MAC_19,45,2301.32,97,242,Completed,2955.56,3,Road,0.87,392.03,"East Jenniferfurt, Indonesia"
2023-01-15,Teh Botol Sosro,SUP_20,814,1695,RM_29,2663,7,2023-01-24,4809,MAC_14,40,2118.93,31,4868,In-Transit,571.01,5,Road,0.68,136.28,"South Joseph, Indonesia"
2023-01-16,Bintang Beer,SUP_2,1882,1159,RM_20,2778,27,2023-01-25,4207,MAC_9,1,730.69,10,2447,In-Transit,1243.52,1,Sea,0.83,387.28,"Hodgeport, Indonesia"
2023-01-17,Tolak Angin,SUP_26,1345,198,RM_5,1224,4,2023-01-26,2689,MAC_16,41,1656.96,62,4636,In-Transit,917.11,1,Air,0.42,384.21,"North Marcus, Indonesia"
2023-01-18,Tolak Angin,SUP_50,799,240,RM_6,1355,8,2023-01-27,2061,MAC_1,3,2709.42,53,2066,Completed,1117.94,3,Road,0.8,624.61,"Garciaville, Indonesia"
2023-01-19,Teh Botol Sosro,SUP_29,1546,593,RM_8,1841,15,2023-01-28,1243,MAC_17,0,2611.94,19,4027,Pending,1152.59,3,Road,0.37,394.53,"Christopherton, Indonesia"
2023-01-20,Beng Beng,SUP_30,503,1835,RM_20,2772,18,2023-01-29,1872,MAC_11,21,3612.88,84,3550,Pending,3174.67,3,Rail,0.74,424.57,"East Rebecca, Indonesia"
2023-01-21,Kecap ABC,SUP_46,1721,1390,RM_29,2479,15,2023-01-30,2779,MAC_10,10,1016.96,17,3247,In-Transit,2491.75,5,Rail,0.44,279.82,"Hubbardport, Indonesia"
2023-01-22,Beng Beng,SUP_47,1723,2155,RM_2,1371,21,2023-01-31,2990,MAC_14,47,9384.38,26,220,In-Transit,4325.24,5,Air,0.41,140.19,"North Codyland, Indonesia"
2023-01-23,Teh Botol Sosro,SUP_18,547,1697,RM_15,1285,27,2023-02-01,812,MAC_16,10,1632.17,79,582,In-Transit,3704.52,3,Road,0.8,307.01,"Marksstad, Indonesia"
2023-01-24,Kopiko,SUP_41,753,1524,RM_21,1895,13,2023-02-02,700,MAC_18,44,7168.66,16,4420,Completed,2544.38,5,Road,0.13,52.34,"Trujillohaven, Indonesia"
2023-01-25,Aqua,SUP_40,1287,2032,RM_4,2126,10,2023-02-03,3839,MAC_5,13,5583.2,72,2999,In-Transit,1606.36,1,Sea,0.93,211.67,"Goodwinfurt, Indonesia"
2023-01-26,Teh Botol Sosro,SUP_13,240,953,RM_12,845,27,2023-02-04,502,MAC_18,26,5751.49,46,1440,Completed,4176.62,4,Road,0.51,331.7,"South William, Indonesia"
2023-01-27,Teh Botol Sosro,SUP_36,356,1295,RM_6,515,7,2023-02-05,4948,MAC_10,32,1502.41,77,4591,Pending,489.73,5,Air,0.64,154.19,"East Williamport, Indonesia"
2023-01-28,Tolak Angin,SUP_50,602,1693,RM_16,669,3,2023-02-06,636,MAC_20,27,2810.54,73,4118,Completed,3436.9,1,Rail,0.41,668.32,"West Damonberg, Indonesia"
2023-01-29,Bintang Beer,SUP_2,469,955,RM_23,249,7,2023-02-07,2596,MAC_7,22,7908.87,16,2426,In-Transit,653.72,4,Rail,0.65,287.96,"Elizabethmouth, Indonesia"
2023-01-30,Bintang Beer,SUP_45,1726,1008,RM_8,2166,10,2023-02-08,1695,MAC_17,8,4905.02,25,1633,Completed,2710.7,4,Road,0.71,619.37,"West Kristen, Indonesia"
2023-01-31,Indomie Goreng,SUP_36,1392,1943,RM_30,119,12,2023-02-09,1679,MAC_15,17,4842.14,98,188,Completed,4517.91,3,Sea,0.87,647.45,"West Davidbury, Indonesia"
2023-02-01,Aqua,SUP_48,1286,1450,RM_14,2503,2,2023-02-10,1520,MAC_12,42,5686.16,23,4544,Completed,1266.53,3,Sea,0.85,452.82,"Lake Michelle, Indonesia"
2023-02-02,Beng Beng,SUP_29,1653,2073,RM_26,2903,13,2023-02-11,2464,MAC_19,23,4621.16,45,641,Completed,484.8,1,Air,0.36,454.62,"South Pedro, Indonesia"
2023-02-03,Teh Botol Sosro,SUP_38,773,377,RM_29,2069,6,2023-02-12,2304,MAC_2,26,8158.29,82,4793,Completed,1763.54,3,Sea,0.62,585.65,"West Teresa, Indonesia"
2023-02-04,Aqua,SUP_5,1175,603,RM_29,887,14,2023-02-13,3362,MAC_10,34,7612.7,20,4936,Completed,2443.46,4,Road,0.78,269.83,"South Aaronview, Indonesia"
2023-02-05,Aqua,SUP_19,425,1857,RM_13,2448,25,2023-02-14,549,MAC_9,3,3511.54,10,4123,Pending,3651.56,1,Air,0.76,31.03,"Lake Katieburgh, Indonesia"
2023-02-06,Kecap ABC,SUP_27,1181,178,RM_4,1979,16,2023-02-15,1304,MAC_14,21,8214.77,18,3667,Pending,245.69,1,Road,0.89,648.57,"Lake Danielton, Indonesia"
2023-02-07,SilverQueen,SUP_42,382,2075,RM_15,1362,14,2023-02-16,915,MAC_5,10,5426.76,34,2846,Pending,741.33,1,Air,0.83,612.44,"North Jimmy, Indonesia"
2023-02-08,Beng Beng,SUP_7,1781,799,RM_21,2972,24,2023-02-17,3998,MAC_18,6,6463.5,24,3119,In-Transit,2112.6,3,Sea,0.72,481.62,"Wandaview, Indonesia"
2023-02-09,Indomie Goreng,SUP_41,1180,759,RM_12,130,27,2023-02-18,3126,MAC_6,40,8728.67,67,3629,Pending,565.6,3,Sea,0.75,877.01,"Sampsonfort, Indonesia"
2023-02-10,Bintang Beer,SUP_33,479,194,RM_3,2610,3,2023-02-19,2138,MAC_2,36,5021.94,33,3454,In-Transit,4783.86,3,Road,0.81,513.54,"Benjaminberg, Indonesia"
2023-02-11,Pocari Sweat,SUP_2,981,1750,RM_24,1681,25,2023-02-20,1294,MAC_11,33,7684.47,81,1018,Pending,2603.85,5,Rail,0.84,310.46,"Fisherchester, Indonesia"
2023-02-12,Indomie Goreng,SUP_33,1132,776,RM_12,1002,10,2023-02-21,2521,MAC_12,11,6466.83,80,556,Completed,1946.97,5,Sea,0.35,716.4,"Morenobury, Indonesia"
2023-02-13,Kecap ABC,SUP_46,1827,321,RM_29,916,27,2023-02-22,1062,MAC_5,3,4554.08,55,2354,Completed,4900.66,5,Rail,0.78,962.78,"Lake Madison, Indonesia"
2023-02-14,Beng Beng,SUP_39,690,2058,RM_15,506,25,2023-02-23,3235,MAC_10,44,7995.96,27,814,Pending,3265.86,1,Road,0.95,739.51,"Knightstad, Indonesia"
2023-02-15,Kopiko,SUP_10,762,870,RM_30,1088,29,2023-02-24,4838,MAC_6,1,1499.01,76,828,Pending,2627.53,3,Sea,0.23,909.76,"Blakeside, Indonesia"
2023-02-16,Teh Botol Sosro,SUP_12,926,2093,RM_15,2700,23,2023-02-25,2728,MAC_19,46,6021.59,72,546,In-Transit,1281.56,5,Sea,0.05,121.59,"South Anthony, Indonesia"
2023-02-17,Bintang Beer,SUP_21,1830,833,RM_19,2242,26,2023-02-26,3803,MAC_17,0,940.9,33,1934,In-Transit,1340.09,1,Rail,0.07,129.78,"Lake Carlport, Indonesia"
2023-02-18,Beng Beng,SUP_26,1628,1345,RM_3,2741,9,2023-02-27,1277,MAC_18,17,1983.61,93,4046,In-Transit,1875.11,4,Road,0.22,163.06,"Kylefurt, Indonesia"
2023-02-19,Teh Botol Sosro,SUP_38,1836,1673,RM_7,1232,5,2023-02-28,3555,MAC_2,22,6189.3,40,3492,Completed,3778.56,5,Rail,0.92,705.83,"East Christopher, Indonesia"
2023-02-20,Beng Beng,SUP_2,377,220,RM_26,258,16,2023-03-01,3826,MAC_6,33,3422.26,99,1079,Pending,4098.42,1,Sea,0.13,395.81,"South Johnburgh, Indonesia"
2023-02-21,Indomie Goreng,SUP_15,1557,1157,RM_8,2194,29,2023-03-02,585,MAC_1,3,2993.51,47,1594,In-Transit,1041.17,2,Air,0.75,482.93,"Amyland, Indonesia"
2023-02-22,Beng Beng,SUP_20,506,229,RM_3,2503,23,2023-03-03,4690,MAC_10,41,9580.47,52,1944,Pending,4105.32,5,Sea,0.87,269.3,"Port Garystad, Indonesia"
2023-02-23,Indomie Goreng,SUP_29,183,1691,RM_17,1653,6,2023-03-04,545,MAC_6,44,3976.1,17,1555,Pending,1721.6,4,Rail,0.88,738.74,"East Jenniferland, Indonesia"
2023-02-24,Indomie Goreng,SUP_31,535,893,RM_14,301,11,2023-03-05,2583,MAC_3,18,5865.04,81,687,Pending,1081.45,1,Air,0.42,846.89,"East Patricia, Indonesia"
2023-02-25,Bintang Beer,SUP_16,1898,732,RM_11,1386,10,2023-03-06,509,MAC_5,39,5575.36,14,2133,Completed,1054.43,5,Rail,0.5,168.61,"West Ross, Indonesia"
2023-02-26,Tolak Angin,SUP_7,1496,1734,RM_17,2697,28,2023-03-07,3815,MAC_20,41,1089.18,89,4755,Completed,2370.81,5,Air,0.32,200.81,"Lake Patriciashire, Indonesia"
2023-02-27,Tolak Angin,SUP_11,244,236,RM_23,1141,5,2023-03-08,3439,MAC_8,39,6905.62,36,2958,In-Transit,3858.94,2,Air,0.15,346.01,"West Cynthiaton, Indonesia"
2023-02-28,Pocari Sweat,SUP_2,844,2011,RM_26,1132,2,2023-03-09,1550,MAC_1,40,5372.56,72,573,Pending,2896.51,1,Rail,0.21,287.36,"Samanthafort, Indonesia"
2023-03-01,Kecap ABC,SUP_1,250,897,RM_1,974,12,2023-03-10,1090,MAC_16,8,4123.46,74,3677,In-Transit,2376.77,1,Rail,0.13,536.22,"Julianland, Indonesia"
2023-03-02,Kopiko,SUP_46,648,1667,RM_5,1441,26,2023-03-11,4222,MAC_8,22,1127.16,72,3988,Pending,188.28,1,Air,0.41,755.05,"Kristinton, Indonesia"
2023-03-03,SilverQueen,SUP_35,935,315,RM_17,2019,12,2023-03-12,531,MAC_6,12,3283.63,14,2256,Pending,2861.45,3,Air,0.17,795.34,"South Josephland, Indonesia"
2023-03-04,Pocari Sweat,SUP_32,300,884,RM_10,139,10,2023-03-13,4231,MAC_17,0,8898.91,76,910,Pending,3406.06,2,Sea,0.4,216.37,"Port Stacymouth, Indonesia"
2023-03-05,SilverQueen,SUP_47,1577,463,RM_26,1596,24,2023-03-14,4641,MAC_20,11,2150.26,61,1015,Completed,580.55,1,Rail,0.85,183.83,"Lake Tony, Indonesia"
2023-03-06,Indomie Goreng,SUP_31,608,330,RM_6,712,6,2023-03-15,1071,MAC_16,9,2583.67,90,3134,Completed,4785.27,2,Sea,0.65,370.06,"Port Heather, Indonesia"
2023-03-07,Bintang Beer,SUP_35,461,482,RM_29,157,28,2023-03-16,516,MAC_19,26,2450.29,92,794,Pending,548.55,3,Road,0.66,156.25,"Autumnland, Indonesia"
2023-03-08,SilverQueen,SUP_17,1315,334,RM_8,1832,24,2023-03-17,4780,MAC_2,18,8962.65,13,1333,In-Transit,3484.32,1,Rail,0.81,100.88,"New Amytown, Indonesia"
2023-03-09,Pocari Sweat,SUP_8,629,1160,RM_11,2765,26,2023-03-18,3334,MAC_11,39,7149.96,86,2795,In-Transit,2670.32,2,Road,0.04,250.16,"Williamsfurt, Indonesia"
2023-03-10,Indomie Goreng,SUP_44,262,1436,RM_25,2497,20,2023-03-19,2040,MAC_1,31,8877.51,60,4262,Completed,4432.53,2,Road,0.79,400.0,"West Frankchester, Indonesia"
2023-03-11,Beng Beng,SUP_27,378,111,RM_6,1398,22,2023-03-20,3141,MAC_5,21,9180.59,52,1023,Pending,2129.06,3,Rail,0.2,591.96,"East Jesse, Indonesia"
2023-03-12,Beng Beng,SUP_35,450,618,RM_2,1841,4,2023-03-21,4548,MAC_12,24,9315.69,64,4724,Completed,2591.86,2,Road,0.35,726.05,"North Danielleberg, Indonesia"
2023-03-13,SilverQueen,SUP_42,311,1101,RM_1,2433,9,2023-03-22,1578,MAC_13,10,5114.3,99,4328,In-Transit,2809.33,3,Air,0.31,230.58,"Lake Edward, Indonesia"
2023-03-14,Kecap ABC,SUP_31,1258,335,RM_25,2192,17,2023-03-23,1885,MAC_2,10,5024.13,50,162,In-Transit,4386.75,5,Sea,0.11,820.48,"Victorfort, Indonesia"
2023-03-15,Indomie Goreng,SUP_42,1824,1161,RM_20,1073,28,2023-03-24,3474,MAC_19,25,8374.77,40,3336,Completed,4018.27,2,Air,0.17,43.33,"New Donaldmouth, Indonesia"
2023-03-16,Bintang Beer,SUP_40,943,2067,RM_19,2562,18,2023-03-25,630,MAC_8,15,3653.3,44,1898,Pending,1472.54,3,Road,0.96,449.61,"Sherryville, Indonesia"
2023-03-17,Bintang Beer,SUP_25,607,397,RM_15,2183,5,2023-03-26,3045,MAC_13,28,711.01,89,1901,Completed,4780.75,4,Air,0.6,636.75,"North Tiffanyview, Indonesia"
2023-03-18,Teh Botol Sosro,SUP_44,584,1367,RM_6,1034,24,2023-03-27,2923,MAC_20,29,3649.7,66,4601,Completed,3790.04,1,Rail,0.47,298.35,"West Robertfort, Indonesia"
2023-03-19,Beng Beng,SUP_48,1044,1615,RM_27,1429,16,2023-03-28,3635,MAC_11,10,7305.33,33,2682,Completed,159.02,1,Road,0.76,686.86,"North Andrea, Indonesia"
2023-03-20,Bintang Beer,SUP_15,1117,2077,RM_18,1985,14,2023-03-29,1841,MAC_18,0,1674.33,62,3838,Pending,1000.35,1,Rail,0.81,868.38,"Michaelfort, Indonesia"
2023-03-21,Tolak Angin,SUP_24,854,1164,RM_20,2185,10,2023-03-30,1293,MAC_6,5,7955.42,39,3177,Pending,4293.45,3,Road,0.11,98.47,"South Matthewland, Indonesia"
2023-03-22,Kecap ABC,SUP_47,1820,1388,RM_13,2386,11,2023-03-31,4306,MAC_11,12,8247.01,90,1859,In-Transit,3264.73,3,Road,0.74,517.43,"South Christopher, Indonesia"
2023-03-23,Beng Beng,SUP_39,807,1349,RM_22,1972,28,2023-04-01,4044,MAC_2,26,1458.67,86,1167,Pending,1364.83,1,Rail,0.93,28.58,"New Michael, Indonesia"
2023-03-24,Teh Botol Sosro,SUP_13,1880,1297,RM_22,1709,3,2023-04-02,4115,MAC_1,42,1429.47,16,4495,Pending,939.97,3,Road,0.59,286.78,"North Peterchester, Indonesia"
2023-03-25,Aqua,SUP_44,626,1817,RM_5,883,26,2023-04-03,4590,MAC_11,34,2388.72,18,3036,Pending,819.08,2,Sea,0.61,145.57,"South Ryan, Indonesia"
2023-03-26,SilverQueen,SUP_38,1509,1728,RM_12,1582,7,2023-04-04,3034,MAC_10,32,3885.7,30,3819,Completed,1658.72,2,Rail,0.87,628.03,"Johnstontown, Indonesia"
2023-03-27,Tolak Angin,SUP_43,989,220,RM_24,2314,24,2023-04-05,3356,MAC_17,13,5560.97,39,4639,In-Transit,4502.8,2,Road,0.68,256.2,"Port Jason, Indonesia"
2023-03-28,SilverQueen,SUP_41,1810,1651,RM_9,1336,21,2023-04-06,1153,MAC_1,42,5112.65,31,357,In-Transit,1825.03,5,Sea,1.0,289.57,"North Nicole, Indonesia"
2023-03-29,Aqua,SUP_17,558,643,RM_16,831,6,2023-04-07,4942,MAC_1,45,8605.1,56,4582,Completed,3337.43,1,Sea,0.28,213.57,"East Christopherchester, Indonesia"
2023-03-30,SilverQueen,SUP_45,923,523,RM_30,1115,18,2023-04-08,4041,MAC_4,21,1851.2,71,4342,In-Transit,646.67,4,Road,0.85,251.36,"Troyland, Indonesia"
2023-03-31,Aqua,SUP_35,1220,2009,RM_12,2906,5,2023-04-09,4474,MAC_5,41,7126.94,40,1255,Completed,2703.86,1,Sea,0.61,232.86,"Lake Christina, Indonesia"
2023-04-01,Tolak Angin,SUP_30,1137,1093,RM_3,1786,9,2023-04-10,3604,MAC_13,20,5714.42,13,2085,Completed,1780.08,2,Road,0.37,700.89,"North Kimberly, Indonesia"
2023-04-02,SilverQueen,SUP_50,1278,1810,RM_12,2468,23,2023-04-11,2910,MAC_1,1,7499.84,19,678,Pending,886.55,1,Road,0.88,956.25,"Warrenport, Indonesia"
2023-04-03,Bintang Beer,SUP_24,777,980,RM_15,1056,24,2023-04-12,4109,MAC_6,4,3748.49,39,445,Pending,4009.12,5,Road,1.0,495.33,"Woodside, Indonesia"
2023-04-04,Teh Botol Sosro,SUP_28,715,1631,RM_12,1305,2,2023-04-13,4645,MAC_9,14,4978.11,16,1640,Pending,4096.14,2,Road,0.06,604.38,"Port Juanbury, Indonesia"
2023-04-05,Aqua,SUP_41,1847,390,RM_13,1776,24,2023-04-14,1181,MAC_2,49,771.63,24,53,In-Transit,1600.73,5,Sea,0.93,819.93,"Patrickview, Indonesia"
2023-04-06,Aqua,SUP_13,1253,430,RM_13,1067,23,2023-04-15,1618,MAC_17,47,1603.01,28,4844,Pending,3303.45,5,Air,0.2,481.35,"West Richard, Indonesia"
2023-04-07,Bintang Beer,SUP_24,103,1672,RM_22,1206,5,2023-04-16,4814,MAC_2,19,4062.46,83,3982,In-Transit,2030.95,5,Rail,0.21,309.0,"Mcdanielburgh, Indonesia"
2023-04-08,SilverQueen,SUP_12,1876,1657,RM_6,763,19,2023-04-17,4976,MAC_13,25,5071.92,48,17,Pending,317.93,2,Air,0.04,951.47,"South Kellyfort, Indonesia"
2023-04-09,Indomie Goreng,SUP_46,1275,2032,RM_3,2251,29,2023-04-18,3474,MAC_11,23,1314.6,12,771,Pending,2196.11,5,Road,0.92,907.09,"Kellyside, Indonesia"
2023-04-10,Pocari Sweat,SUP_42,1772,1011,RM_19,1758,14,2023-04-19,1802,MAC_3,34,8337.39,61,1319,In-Transit,2921.72,5,Road,0.76,228.16,"New Cindy, Indonesia"
2023-04-11,SilverQueen,SUP_35,758,1721,RM_7,1852,19,2023-04-20,2400,MAC_4,23,9487.5,91,1598,In-Transit,1565.28,4,Road,0.05,706.05,"Johnsonfurt, Indonesia"
2023-04-12,Teh Botol Sosro,SUP_18,289,415,RM_21,974,24,2023-04-21,1582,MAC_8,25,6165.78,97,3553,Pending,4749.59,1,Air,0.63,650.67,"West Benjamin, Indonesia"
2023-04-13,SilverQueen,SUP_44,1067,1165,RM_1,381,4,2023-04-22,941,MAC_19,40,1007.32,22,18,Completed,2834.41,4,Rail,0.12,653.14,"South Brookeberg, Indonesia"
2023-04-14,Tolak Angin,SUP_16,1804,1850,RM_17,2061,19,2023-04-23,4355,MAC_15,49,7518.85,53,4693,In-Transit,1920.2,1,Air,0.75,832.3,"Jillstad, Indonesia"
2023-04-15,Pocari Sweat,SUP_39,227,255,RM_14,2627,11,2023-04-24,2330,MAC_13,21,2563.06,90,1958,In-Transit,3701.6,2,Rail,0.41,677.36,"Navarroburgh, Indonesia"
2023-04-16,Tolak Angin,SUP_26,1727,1028,RM_5,2764,20,2023-04-25,4283,MAC_17,26,7469.69,26,2794,Pending,1770.51,4,Road,0.05,522.82,"Waltonbury, Indonesia"
2023-04-17,Tolak Angin,SUP_4,1712,2135,RM_11,2592,27,2023-04-26,3141,MAC_15,18,4626.29,84,3520,Pending,221.06,3,Sea,0.83,847.61,"New Lisaview, Indonesia"
2023-04-18,Tolak Angin,SUP_45,555,1460,RM_20,166,3,2023-04-27,2797,MAC_7,36,1007.55,26,308,In-Transit,140.48,2,Sea,0.57,272.19,"Christopherburgh, Indonesia"
2023-04-19,SilverQueen,SUP_41,177,1797,RM_28,1777,15,2023-04-28,2382,MAC_10,35,3148.11,61,2193,Pending,1579.65,2,Air,0.77,682.43,"Port Leah, Indonesia"
2023-04-20,SilverQueen,SUP_15,533,977,RM_5,547,28,2023-04-29,2300,MAC_14,28,4556.78,58,2854,Completed,864.32,1,Sea,0.67,704.51,"New Stephenland, Indonesia"
2023-04-21,Beng Beng,SUP_14,725,1545,RM_1,2435,20,2023-04-30,3663,MAC_8,39,7494.38,92,3490,In-Transit,1827.07,1,Sea,0.43,871.62,"Andreaborough, Indonesia"
2023-04-22,SilverQueen,SUP_24,1709,1016,RM_12,1311,6,2023-05-01,3849,MAC_19,38,1764.16,80,4424,Completed,3871.34,5,Rail,0.7,998.32,"East Stephanie, Indonesia"
2023-04-23,Bintang Beer,SUP_32,1248,1214,RM_11,712,27,2023-05-02,1508,MAC_19,42,3226.52,28,1360,In-Transit,1614.35,3,Road,0.01,561.98,"Tashaburgh, Indonesia"
2023-04-24,Aqua,SUP_46,311,1419,RM_14,2552,17,2023-05-03,1537,MAC_15,11,1293.6,43,1441,Completed,2842.27,2,Sea,0.34,489.57,"Peckview, Indonesia"
2023-04-25,Beng Beng,SUP_37,292,456,RM_20,2509,27,2023-05-04,1602,MAC_19,43,6350.17,39,782,Pending,4606.26,2,Road,0.78,604.68,"Collinsfort, Indonesia"
2023-04-26,Tolak Angin,SUP_35,1711,2045,RM_5,2792,11,2023-05-05,933,MAC_12,15,5005.58,38,3858,Pending,3521.64,4,Road,0.76,662.09,"North Tammyport, Indonesia"
2023-04-27,Indomie Goreng,SUP_15,326,417,RM_26,678,6,2023-05-06,4216,MAC_3,47,9325.55,57,1098,In-Transit,2852.61,1,Road,0.89,715.85,"North Veronica, Indonesia"
2023-04-28,Bintang Beer,SUP_49,439,1960,RM_29,823,15,2023-05-07,976,MAC_2,30,7535.25,17,983,In-Transit,4348.57,4,Road,0.61,288.41,"Allenmouth, Indonesia"
2023-04-29,SilverQueen,SUP_24,1967,2001,RM_25,2828,8,2023-05-08,3284,MAC_4,14,7889.93,77,3156,Completed,1720.16,1,Sea,0.94,492.16,"New Ericfurt, Indonesia"
2023-04-30,Kecap ABC,SUP_43,1109,1440,RM_18,2149,11,2023-05-09,4835,MAC_8,32,2061.73,61,4433,Pending,1069.44,1,Air,0.56,377.21,"Port Georgeville, Indonesia"
2023-05-01,Kopiko,SUP_8,1263,1119,RM_5,1252,12,2023-05-10,4433,MAC_7,14,3032.91,84,793,Pending,3761.13,4,Sea,0.5,48.39,"North Christopherborough, Indonesia"
2023-05-02,Indomie Goreng,SUP_14,778,683,RM_10,2042,20,2023-05-11,3713,MAC_16,31,5374.83,91,2224,Completed,388.09,4,Air,0.2,613.43,"West Tamara, Indonesia"
2023-05-03,Teh Botol Sosro,SUP_12,512,1087,RM_4,2323,12,2023-05-12,3810,MAC_11,21,628.1,94,1781,In-Transit,2178.49,4,Air,0.78,876.07,"Cantrellmouth, Indonesia"
2023-05-04,Teh Botol Sosro,SUP_39,285,1536,RM_15,1916,4,2023-05-13,4063,MAC_14,49,8766.22,67,771,Completed,1506.67,1,Road,0.69,922.26,"Port Rebecca, Indonesia"
2023-05-05,Kecap ABC,SUP_13,422,1173,RM_29,189,8,2023-05-14,3580,MAC_17,5,7888.53,70,4342,Completed,4859.49,3,Sea,0.46,522.25,"Wilsonville, Indonesia"
2023-05-06,Teh Botol Sosro,SUP_7,938,460,RM_4,2012,15,2023-05-15,883,MAC_11,29,1050.43,49,588,Completed,1947.77,4,Rail,0.09,768.23,"Brownchester, Indonesia"
2023-05-07,SilverQueen,SUP_23,1338,613,RM_13,1958,7,2023-05-16,1366,MAC_13,40,8565.82,26,713,Completed,3350.8,1,Air,0.13,715.29,"Morganmouth, Indonesia"
2023-05-08,Beng Beng,SUP_13,688,969,RM_9,1218,23,2023-05-17,1362,MAC_5,16,542.64,90,1104,In-Transit,1415.57,4,Air,0.11,236.61,"Martinezfurt, Indonesia"
2023-05-09,Bintang Beer,SUP_25,608,976,RM_14,1726,21,2023-05-18,767,MAC_1,43,1585.08,24,2678,Completed,4917.55,3,Sea,0.38,72.28,"South Jeremyburgh, Indonesia"
2023-05-10,Tolak Angin,SUP_50,174,959,RM_2,2864,28,2023-05-19,4448,MAC_20,1,1025.96,93,3178,Pending,983.92,3,Rail,0.16,750.38,"Jamesmouth, Indonesia"
2023-05-11,Bintang Beer,SUP_7,1532,1919,RM_28,1042,14,2023-05-20,1845,MAC_3,15,5052.02,20,2696,In-Transit,4542.84,5,Rail,0.86,289.87,"West Amanda, Indonesia"
2023-05-12,Kecap ABC,SUP_26,1751,578,RM_30,1498,15,2023-05-21,3989,MAC_13,46,7948.47,92,3170,Completed,2282.32,5,Air,0.9,553.89,"West Colin, Indonesia"
2023-05-13,Beng Beng,SUP_47,439,101,RM_22,1182,21,2023-05-22,4120,MAC_6,11,2196.12,97,2736,Completed,2193.65,3,Sea,0.86,528.82,"Michaelhaven, Indonesia"
2023-05-14,Tolak Angin,SUP_2,1684,1792,RM_17,2066,16,2023-05-23,1489,MAC_5,46,7829.12,79,47,Pending,3536.36,4,Rail,0.61,819.7,"New Noahborough, Indonesia"
2023-05-15,Kecap ABC,SUP_40,418,919,RM_29,841,19,2023-05-24,4489,MAC_7,44,2256.79,91,398,Completed,557.26,5,Road,0.6,648.2,"Beckyberg, Indonesia"
